n,replicate,variant,label,nrmse,calibrated_nrmse,norm_ratio,cosine,scale
2048,7,ft,RFD rows + true directions,0.5545843308601107,0.5094841317014593,1.0795455661550226,0.8604800517992328,0.7970761761024804
2048,7,of,oracle rows + RFD directions,0.2820234703819905,0.2736844829709009,1.0298933231083645,0.9618195276562808,0.9339020907071934
2048,7,ff,complete RFD,0.5546306640167284,0.5096862680642897,1.079072662383585,0.8603603362235481,0.7973145518514774
2048,7,fixed,fixed-centre comparator,0.4006118059392691,,,,
2048,5,ot,oracle rows + true directions,0.2774719562250106,0.2661741137238966,1.0422960561065528,0.9639249665732798,0.9248091853805676
2048,5,oo,oracle rows + oracle-fit directions,0.2778937259755527,0.2665700535261311,1.0423351581206506,0.9638155459231168,0.924669515763906
2048,5,ft,RFD rows + true directions,0.4819948709119127,0.4407298634952345,1.0927711352151632,0.8976397871214665,0.8214343865742063
2048,5,of,oracle rows + RFD directions,0.277774611418954,0.2664997308015203,1.0421716269043455,0.9638349928710396,0.9248332692898232
2048,5,ff,complete RFD,0.4824479889801139,0.4411206668036525,1.092815709780534,0.8974478020022675,0.8212252019899114
2048,5,fixed,fixed-centre comparator,0.4075366524278312,,,,
2048,8,ot,oracle rows + true directions,0.2534389146342952,0.2458551248056817,1.0308414627303957,0.969306585971014,0.940306168325444
2048,8,oo,oracle rows + oracle-fit directions,0.2533745728032727,0.2458104799461724,1.030766115188026,0.9693179086082296,0.9403858880551316
2048,8,ft,RFD rows + true directions,0.5843361263170462,0.5295551219194041,1.0952979597526638,0.8482755288518733,0.774470107698756
2048,8,of,oracle rows + RFD directions,0.2532609138642835,0.2456965089792734,1.0307822653117282,0.9693468035101772,0.9403991862597948
2048,8,ff,complete RFD,0.5842889036402206,0.5295270023177839,1.0952640863306902,0.8482930824994046,0.7745100867328922
2048,8,fixed,fixed-centre comparator,0.2951120156677346,,,,
2048,9,ot,oracle rows + true directions,0.2827748262536801,0.2720490797200004,1.0394254578134765,0.9622833772977174,0.9257839223237476
2048,9,oo,oracle rows + oracle-fit directions,0.2828492483438214,0.2721279643013716,1.0393977582303693,0.962261072186333,0.925787134488951
2048,9,ft,RFD rows + true directions,0.4452509917295975,0.4139813699934441,1.0741995719951856,0.91028535377559,0.8474080399090589
2048,9,of,oracle rows + RFD directions,0.2827212817889172,0.2720399056889753,1.0392639734906386,0.962285970859356,0.925930269310951
2048,9,ff,complete RFD,0.4455023180139677,0.4142265870444078,1.0741513833695888,0.9101737936161104,0.8473421974851586
2048,9,fixed,fixed-centre comparator,0.3177996232582653,,,,
2048,13,ot,oracle rows + true directions,0.2770212241926967,0.2665812184745775,1.039146464870194,0.9638124578758096,0.9275039568134462
2048,13,oo,oracle rows + oracle-fit directions,0.2771915509421089,0.2667474922192578,1.039138405785561,0.9637664527232398,0.9274668777107298
2048,13,ft,RFD rows + true directions,0.5006668120189942,0.4628824587202904,1.0772260788172752,0.8864196688978976,0.8228724557718927
2048,13,of,oracle rows + RFD directions,0.2772504611241766,0.2668074786036199,1.0391261542395869,0.9637498479175904,0.9274618331812124
2048,13,ff,complete RFD,0.5008208217562857,0.4630129400317435,1.077245503521371,0.8863515202013031,0.822794355886322
2048,13,fixed,fixed-centre comparator,0.3683506303920016,,,,
2048,10,ot,oracle rows + true directions,0.2705376735061577,0.2623514825355736,1.0310203381095242,0.9649723828231492,0.9359392314146968
2048,10,oo,oracle rows + oracle-fit directions,0.2704533543094586,0.2622711249548712,1.0310159945841917,0.964994226415322,0.9359643608676546
2048,10,ft,RFD rows + true directions,0.4623938581197566,0.4336628662820518,1.061526435127369,0.9010752013056595,0.8488485745506119
2048,10,of,oracle rows + RFD directions,0.2704272715260037,0.2622545731039032,1.0309793891834964,0.9649987248106028,0.9360019559409928
2048,10,ff,complete RFD,0.4625478035032255,0.4337790174863905,1.0616002199243169,0.9010192916850012,0.8487369112915559
2048,10,fixed,fixed-centre comparator,0.4137486485574248,,,,
2048,11,ot,oracle rows + true directions,0.2925176878297431,0.2812083948179176,1.0401975569947837,0.959646725979894,0.9225619878904472
2048,11,oo,oracle rows + oracle-fit directions,0.2923834688572087,0.2810925176493756,1.0401486143372756,0.959680674246145,0.922638035582636
2048,11,ft,RFD rows + true directions,0.500486557297186,0.4695908257840695,1.056006237109512,0.8828841692653885,0.8360596161647768
2048,11,of,oracle rows + RFD directions,0.292449275878498,0.2811459640712419,1.040185362372301,0.9596650180591414,0.9225903889576752
2048,11,ff,complete RFD,0.5004928727353549,0.4695931284756119,1.0560170236042508,0.8828829444997153,0.8360499165878801
2048,11,fixed,fixed-centre comparator,0.4464241153510553,,,,
2048,12,ot,oracle rows + true directions,0.2857683673799867,0.2749634227424817,1.0392921845810348,0.96145468751977,0.9251052800972974
2048,12,oo,oracle rows + oracle-fit directions,0.2857772360014311,0.2749938641185883,1.0392084612800774,0.9614459811643746,0.9251714328615877
2048,12,ft,RFD rows + true directions,0.4652464534103873,0.4184059139341682,1.1117073215306728,0.908260145104316,0.8169957393585958
2048,12,of,oracle rows + RFD directions,0.2856295944322602,0.2748805945540448,1.0390987550541095,0.9614783714351636,0.9253002823442862
2048,12,ff,complete RFD,0.4653628517647271,0.418542331965326,1.1116300796002008,0.9081972893336704,0.816995964755024
2048,12,fixed,fixed-centre comparator,0.4409135195659292,,,,
2048,14,ot,oracle rows + true directions,0.2753452758406717,0.2648354607145385,1.0396408106751656,0.9642936164613544,0.9275257440453126
2048,14,oo,oracle rows + oracle-fit directions,0.2758980699000632,0.2653447542113383,1.0397307536476277,0.9641535984543772,0.9273108399187892
2048,14,ft,RFD rows + true directions,0.498189204208172,0.4464762697362772,1.11581905604276,0.8947954741517073,0.8019180791956445
2048,14,of,oracle rows + RFD directions,0.2759060160830264,0.2653568195142525,1.0397140790561028,0.9641502778806216,0.9273225180868176
2048,14,ff,complete RFD,0.4985153499409593,0.4467233689285383,1.1159316803309598,0.894672136401451,0.8017266219524406
2048,14,fixed,fixed-centre comparator,0.4131471724847884,,,,
2048,15,ot,oracle rows + true directions,0.2785836775838778,0.2681962944273487,1.038727493738291,0.963364286059764,0.9274466035289952
2048,15,oo,oracle rows + oracle-fit directions,0.2783213192340843,0.267983999258725,1.038572101268395,0.9634233628791132,0.9276422519943454
2048,15,ft,RFD rows + true directions,0.4075504185997403,0.3832764980240086,1.0621849789753668,0.9236336535999824,0.8695600784064583
2048,15,of,oracle rows + RFD directions,0.2782088038096423,0.2678779044874729,1.0385632318664697,0.9634528677041756,0.9276785833951504
2048,15,ff,complete RFD,0.4073385142519698,0.3831207350469331,1.0620571107899517,0.9236982745340048,0.8697256156469435
2048,15,fixed,fixed-centre comparator,0.4302284245412741,,,,
2048,16,ot,oracle rows + true directions,0.2874047527753254,0.2762716659504103,1.040297375532477,0.9610795839018664,0.9238508204540428
2048,16,oo,oracle rows + oracle-fit directions,0.2868716892115118,0.275821969117009,1.0400605464629291,0.9612087397399252,0.9241853688314916
2048,16,ft,RFD rows + true directions,0.4599605714689023,0.4274171127746964,1.0739908195018275,0.9040545402282664,0.8417711993549571
2048,16,of,oracle rows + RFD directions,0.286967530696547,0.2759579658035751,1.0398943182176836,0.9611697046357384,0.9242955633060153
2048,16,ff,complete RFD,0.460095590484356,0.4276279800381394,1.0737260247468068,0.9039548167295204,0.8418859149313063
2048,16,fixed,fixed-centre comparator,0.4137698125730543,,,,
2048,17,ot,oracle rows + true directions,0.2812817107110001,0.2691585975102234,1.0447846067188211,0.9630958671837035,0.9218128416041046
2048,17,oo,oracle rows + oracle-fit directions,0.2815496825975179,0.269385501103607,1.0448961873273817,0.9630324251006082,0.9216536884528568
2048,17,ft,RFD rows + true directions,0.5937888689850956,0.524105559690414,1.1307564877752794,0.8516533110964802,0.7531712798500728
2048,17,of,oracle rows + RFD directions,0.2812722603101251,0.2691430581360226,1.0448076065830725,0.963100209872882,0.9217967057328336
2048,17,ff,complete RFD,0.5939044984395785,0.5241539986142199,1.1308816941472817,0.8516234999908848,0.7530615310145545
2048,17,fixed,fixed-centre comparator,0.4297137890128495,,,,
2048,18,ot,oracle rows + true directions,0.2919684779326548,0.2805824174828406,1.0405708747260245,0.9598299364989012,0.9224070746277788
2048,18,oo,oracle rows + oracle-fit directions,0.2917285438525123,0.2804170337324597,1.0403259547771049,0.9598782668613188,0.9226706903289532
2048,18,ft,RFD rows + true directions,0.6081979964926614,0.5363176619525372,1.1308404930460731,0.8440162116202297,0.7463618581138325
2048,18,of,oracle rows + RFD directions,0.2922330469597561,0.2809285290272081,1.040222885938734,0.9597286916512444,0.92261832019313
2048,18,ff,complete RFD,0.6085460604666109,0.5365735300470872,1.130937450264021,0.8438535695562398,0.7461540595010265
2048,18,fixed,fixed-centre comparator,0.3972888894720748,,,,
2048,22,ot,oracle rows + true directions,0.2624039912680939,0.2543257634066328,1.0317271289304164,0.9671186101340584,0.9373782883238352
2048,22,oo,oracle rows + oracle-fit directions,0.2625285665708872,0.2544645399246955,1.0316502565454857,0.9670821050567078,0.9374127509985928
2048,22,ft,RFD rows + true directions,0.4819898744933842,0.452073292939694,1.0591453150625116,0.8919807945301633,0.8421703630700739
2048,22,of,oracle rows + RFD directions,0.2623386122254845,0.2543018290219799,1.0315619058577348,0.967124903906458,0.937534527413846
2048,22,ff,complete RFD,0.4823186578505548,0.4523614824091447,1.0591678075899775,0.8918346759532289,0.842014522686922
2048,22,fixed,fixed-centre comparator,0.2691569337391942,,,,
2048,21,ot,oracle rows + true directions,0.2653056985388695,0.2567509588895146,1.0333061744148877,0.9664775967963846,0.935325483120872
2048,21,oo,oracle rows + oracle-fit directions,0.2651262554572571,0.2566037699858199,1.033198292345497,0.9665166864721292,0.9354609794001968
2048,21,ft,RFD rows + true directions,0.4695114370735661,0.4351006058043575,1.0768144145337346,0.9003818427915353,0.8361532225415135
2048,21,of,oracle rows + RFD directions,0.2650166320268821,0.2565143409899892,1.0331302748059357,0.9665404248485788,0.9355455438861616
2048,21,ff,complete RFD,0.4695520021792343,0.4351573266071024,1.076755065317912,0.9003544308216401,0.8361738521804034
2048,21,fixed,fixed-centre comparator,0.324286955550661,,,,
2048,19,ot,oracle rows + true directions,0.27985975942829,0.268466324114557,1.0423290459575294,0.9632890702257644,0.9241698424904244
2048,19,oo,oracle rows + oracle-fit directions,0.2799583182393576,0.2685915160016001,1.04221781737726,0.96325417078358,0.9242349868932466
2048,19,ft,RFD rows + true directions,0.3858985884207456,0.3674561266407189,1.0479124627887948,0.9300408566263096,0.8875176979489344
2048,19,of,oracle rows + RFD directions,0.2798938940719431,0.2685551071172066,1.0421233507349896,0.9632643222092604,0.9243285082614148
2048,19,ff,complete RFD,0.3861174117157183,0.3676837597433894,1.0478292502633908,0.929950887316618,0.8875023168926217
2048,19,fixed,fixed-centre comparator,0.3728163268619914,,,,
2048,23,ot,oracle rows + true directions,0.2745919724615813,0.2652417107737517,1.0352283177137471,0.9641819511201264,0.9313713068142072
2048,23,oo,oracle rows + oracle-fit directions,0.2742502097136368,0.2649539285574916,1.0350607423824814,0.9642610723979016,0.931598536119132
2048,23,ft,RFD rows + true directions,0.4628376580624764,0.4227182544427262,1.0947498133110296,0.9062611529580724,0.8278248983821421
2048,23,of,oracle rows + RFD directions,0.2742697306285309,0.264990903798289,1.0349877907458178,0.9642509117984622,0.9316543831919194
2048,23,ff,complete RFD,0.4627398565548798,0.4226584972411797,1.0946715324480734,0.906289023827293,0.8279095573084919
2048,23,fixed,fixed-centre comparator,0.29337765454984,,,,
2048,20,ot,oracle rows + true directions,0.2738251263464367,0.2641935417551873,1.0364556020573783,0.9644696845908896,0.9305460674595268
2048,20,oo,oracle rows + oracle-fit directions,0.2739035564370533,0.2642672363867073,1.0364632850274422,0.964449494671718,0.9305196899918962
2048,20,ft,RFD rows + true directions,0.4211981507860278,0.394881429032614,1.065280852664083,0.9187320920731792,0.8624318082650122
2048,20,of,oracle rows + RFD directions,0.2744114080751175,0.2647428412415551,1.036519110455522,0.964319048868863,0.9303437236628186
2048,20,ff,complete RFD,0.4216849125005822,0.395287548936405,1.065410823961166,0.9185574307879986,0.8621626607591891
2048,20,fixed,fixed-centre comparator,0.3373962493522446,,,,
2048,24,ot,oracle rows + true directions,0.2470657990358192,0.2398606466759386,1.030038901980222,0.9708073290700896,0.9424957904053314
2048,24,oo,oracle rows + oracle-fit directions,0.2481181154738744,0.2408482348341626,1.030184320574383,0.9705627891987556,0.9421253748626408
2048,24,ft,RFD rows + true directions,0.5059871507553031,0.4691110021112759,1.0727648020762672,0.8831392119582024,0.8232365661596496
2048,24,of,oracle rows + RFD directions,0.2477957882490425,0.2405722536701212,1.030026043006653,0.9706312331488616,0.9423365940491972
2048,24,ff,complete RFD,0.5065613934999824,0.469599537724215,1.0728287906873035,0.8828795354798998,0.822945416028858
2048,24,fixed,fixed-centre comparator,0.3475536314213647,,,,
2048,25,ot,oracle rows + true directions,0.2834639786169994,0.2732380052816222,1.0373972365849555,0.9619464602927338,0.9272691562774922
2048,25,oo,oracle rows + oracle-fit directions,0.283549453228178,0.2733289607257647,1.037363125646941,0.9619206200246324,0.9272747374982506
2048,25,ft,RFD rows + true directions,0.4137350591100937,0.3905571841994475,1.0571135913268586,0.9205786690284534,0.870841768170788
2048,25,of,oracle rows + RFD directions,0.2834396644213406,0.2732521378039792,1.037250563323169,0.9619424458799782,0.9273964072847388
2048,25,ff,complete RFD,0.4138663196135954,0.3906765095870168,1.0571193802974077,0.9205280358885902,0.8707891020119325
2048,25,fixed,fixed-centre comparator,0.3953866214305764,,,,
2048,29,ot,oracle rows + true directions,0.2864332549795897,0.2731249797273788,1.04827314040842,0.9619785576866664,0.917679296172625
2048,29,oo,oracle rows + oracle-fit directions,0.2866957028675999,0.2734136748424545,1.0481484341012826,0.9618965445457972,0.9177102338282452
2048,29,ft,RFD rows + true directions,0.5047245409720121,0.449740677718513,1.122244722045651,0.8931591811123548,0.7958684621695397
2048,29,of,oracle rows + RFD directions,0.2864999834538255,0.2732193184106219,1.048169194163428,0.961951768046213,0.9177447433130989
2048,29,ff,complete RFD,0.5048421111673846,0.4498713938073587,1.122181292783038,0.8930933484433887,0.7958547822771975
2048,29,fixed,fixed-centre comparator,0.4296826964469654,,,,
2048,30,ot,oracle rows + true directions,0.2777085607841953,0.2670183452741684,1.0400016552461704,0.9636914461003816,0.926624915680806
2048,30,oo,oracle rows + oracle-fit directions,0.2777955814584334,0.267127831592185,1.0399048350626776,0.9636611030797376,0.9266820103030444
2048,30,ft,RFD rows + true directions,0.6506342624636952,0.5732941097179579,1.127016373606292,0.8193496590361735,0.7270077686754198
2048,30,of,oracle rows + RFD directions,0.277598963166688,0.2669439816545375,1.0398835318128925,0.9637120475839356,0.92674998507173
2048,30,ff,complete RFD,0.6506473355007072,0.573301553849139,1.127024939756475,0.8193444503712479,0.7269976213199772
2048,30,fixed,fixed-centre comparator,0.4110330507800001,,,,
2048,26,ot,oracle rows + true directions,0.2700024136456533,0.2596896822898336,1.039601335631105,0.96569211911054,0.9289061931844312
2048,26,oo,oracle rows + oracle-fit directions,0.2696881773995749,0.2594116864461093,1.0395048154571709,0.9657668336276544,0.9290643191517236
2048,26,ft,RFD rows + true directions,0.3975517012269294,0.3709123302135381,1.0717461812388436,0.9286678864349532,0.8664998324150737
2048,26,of,oracle rows + RFD directions,0.2695220375331058,0.2592883133876887,1.0393642166130626,0.9657999640404672,0.9292218729519895
2048,26,ff,complete RFD,0.3974803101367401,0.3708699769830022,1.0716745111399233,0.9286848013037724,0.8665735646879809
2048,26,fixed,fixed-centre comparator,0.3638880838486979,,,,
2048,27,ot,oracle rows + true directions,0.2771885501260326,0.2680351931749642,1.034053495148472,0.963409121411905,0.9316820898841182
2048,27,oo,oracle rows + oracle-fit directions,0.2772332350787731,0.2681167972646169,1.0338963401242076,0.9633864141789444,0.9318017452921896
2048,27,ft,RFD rows + true directions,0.6083957919191475,0.5403042599770328,1.1211422998447915,0.8414697300858008,0.7505467684185068
2048,27,of,oracle rows + RFD directions,0.2771454656791448,0.2681429402205298,1.0334431998430451,0.9633791380395824,0.9322032775346496
2048,27,ff,complete RFD,0.6093938774831983,0.5411103377104197,1.1212380664886916,0.8409516052799441,0.7500205624604753
2048,27,fixed,fixed-centre comparator,0.3164202054523518,,,,
2048,28,ot,oracle rows + true directions,0.2767149310110702,0.2669424705315761,1.0366019062081273,0.9637124661570478,0.929684250420002
2048,28,oo,oracle rows + oracle-fit directions,0.2763526627425689,0.2666774043040048,1.0362700278669654,0.963785848637382,0.9300528073954016
2048,28,ft,RFD rows + true directions,0.4745633068560089,0.439513582334434,1.0772279637320792,0.898235943916493,0.8338401658313207
