regime,regime_label,regime_class,n,completed,rfd_threshold_accuracy_percent,known_threshold_accuracy_percent,fixed_threshold_accuracy_percent,recorded_error_percent,nonconverged_stage_total,fallback_total,rfd_centre_path_rms_mean,rfd_centre_path_rms_median,rfd_centre_path_rms_q25,rfd_centre_path_rms_q75,rfd_loading_angle_degrees_mean,rfd_loading_angle_degrees_median,rfd_loading_angle_degrees_q25,rfd_loading_angle_degrees_q75,rfd_factor_nrmse_mean,rfd_factor_nrmse_median,rfd_factor_nrmse_q25,rfd_factor_nrmse_q75,rfd_observation_reconstruction_rms_mean,rfd_observation_reconstruction_rms_median,rfd_observation_reconstruction_rms_q25,rfd_observation_reconstruction_rms_q75,known_centre_loading_error_mean,known_centre_loading_error_median,known_centre_loading_error_q25,known_centre_loading_error_q75,fixed_centre_loading_error_mean,fixed_centre_loading_error_median,fixed_centre_loading_error_q25,fixed_centre_loading_error_q75,noise_lag_row_size_mean,noise_lag_row_size_median,noise_lag_row_size_q25,noise_lag_row_size_q75,rfd_fallback_rate_mean,rfd_fallback_rate_median,rfd_fallback_rate_q25,rfd_fallback_rate_q75
C2,factors without observation noise,positive_control,2048,32,100.0,100.0,56.25,0.0,0,0,0.17913105321130102,0.17864621110577394,0.16198243638821225,0.19893337308452358,0.27451824137990644,0.2531018433793266,0.12645770088870661,0.3341049379775179,0.3844734602829201,0.3902250286817084,0.33791001289313627,0.4221706458025557,0.0017069373975942687,0.0015463564159856002,0.001357501502172975,0.002001347506490775,9.145063861593995e-16,9.249796651894991e-16,6.810361144316789e-16,1.0637045969099883e-15,0.2630315044455105,0.25897462583367303,0.18480855801645216,0.3431410368402887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2,factors without observation noise,positive_control,8192,32,100.0,100.0,34.375,0.0,0,0,0.09362691387543341,0.08981319171631155,0.08187067574114835,0.10975129237869388,0.06605328722708742,0.0528273403995835,0.0294417043503242,0.09714132155160003,0.20955943573353408,0.2028913225910394,0.18219723916719216,0.23875411391674342,0.0006879709626216437,0.0006909288815147,0.00054334350589085,0.00079011600506805,8.111796077172223e-16,7.728495536411748e-16,6.287660717980513e-16,9.48061804065378e-16,0.30409140687229974,0.3076454471509476,0.24333272157958521,0.37327134504107784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,"fixed centre, noise only",,512,32,100.0,100.0,100.0,0.0,0,0,0.0677856904064672,0.06783302232619376,0.06064171814650787,0.07465215800160323,,,,,,,,,0.20613624412308557,0.20642033393790454,0.20433396349868096,0.20770970120076082,,,,,,,,,0.0017102451514327188,0.00169308968009705,0.00163707463038115,0.001770178289178425,0.0,0.0,0.0,0.0
C3,"fixed centre, noise only",,2048,32,100.0,100.0,100.0,0.0,0,0,0.032501103323393184,0.0331538210151233,0.030230169781195627,0.034919399810048525,,,,,,,,,0.20122746309139988,0.20120574933500818,0.20103474339261868,0.20138234547195377,,,,,,,,,0.000858678801025122,0.0008395815786615001,0.000798122560508175,0.0009154075182695751,0.0,0.0,0.0,0.0
C3,"fixed centre, noise only",,8192,32,100.0,100.0,100.0,0.0,0,0,0.01664301025002647,0.01651865852816935,0.0160606046534039,0.017289950838728824,,,,,,,,,0.2002778307976525,0.20027257458854936,0.20025206732184503,0.20033683238524508,,,,,,,,,0.0004384450275832188,0.00042948360958235,0.00040107072704865,0.000486648896464125,0.0,0.0,0.0,0.0
G-C,two-direction noncommuting curved path,geometry,512,32,100.0,96.875,78.125,0.0,0,0,0.35647441513035183,0.3495102118261227,0.32785671050965004,0.3927235625187804,5.0112434106163075,4.464225970903042,3.814092127044548,6.075399786759318,0.7465871903030062,0.7766306188298517,0.6650482302464529,0.8794955440042633,0.1663438677058251,0.1665233292405584,0.1641739580254854,0.16800905451812795,0.05680352100092559,0.0542360931084617,0.045544125903264426,0.06532167292444305,0.2786947565712192,0.2325778263410404,0.16463854461855226,0.3623047827422466,0.0017102451514327188,0.00169308968009705,0.00163707463038115,0.001770178289178425,0.0,0.0,0.0,0.0
G-C,two-direction noncommuting curved path,geometry,2048,32,100.0,100.0,50.0,0.0,0,0,0.18298754216567129,0.187857002741466,0.16582861941049679,0.2033552170157756,1.844406032451181,1.6915084836001588,1.456310379920731,2.2107674770526664,0.47787981285776526,0.477570093756329,0.44276228336934415,0.5084041620880354,0.16335598194649562,0.16399614436789145,0.16072637870846485,0.1655980488422098,0.027477776210648303,0.02490612916406865,0.021712220472637572,0.03198926276988437,0.2671658411936947,0.2555490248814781,0.186763800078832,0.3458396937763906,0.0008586788010251219,0.0008395815786615001,0.000798122560508175,0.0009154075182695751,0.0,0.0,0.0,0.0
G-C,two-direction noncommuting curved path,geometry,8192,32,100.0,100.0,31.25,0.0,0,0,0.09480860974380112,0.09120933163541856,0.08543262410453392,0.1094409199592203,0.8560695421268205,0.8495536708856835,0.6148888338456544,1.069161605507518,0.3463870229872337,0.3414108508549716,0.3257335070268234,0.3685876178719032,0.16233511338574796,0.16324918619112075,0.16032696807962496,0.16439123720046966,0.013146848348316269,0.01180805763734725,0.00921186170042625,0.015315137772480076,0.30055401755446554,0.30748423107328227,0.23832593059836554,0.3736590114071731,0.00043844502758322193,0.00042948360958235,0.00040107072704865,0.000486648896464125,0.0,0.0,0.0,0.0
I-A,aligned centre drift,identification,512,32,100.0,100.0,100.0,0.0,0,0,0.3559629711818338,0.3656503441684535,0.314746879831988,0.395195170138633,4.886653579521708,4.83522996743764,3.583126882820368,5.646021383917273,0.7479054018255817,0.7869252684460091,0.6557908967026836,0.8659045207663876,0.16534283052494858,0.1655663379914023,0.1642167627338082,0.166479646778888,0.05634106317173434,0.054781792998996756,0.04361660139071248,0.0684435379765838,0.05508097701400572,0.055792956413726946,0.04173875282297575,0.06872565958878903,0.0017102451514327188,0.00169308968009705,0.00163707463038115,0.001770178289178425,0.0,0.0,0.0,0.0
I-A,aligned centre drift,identification,2048,32,100.0,100.0,100.0,0.0,0,0,0.18255921608011566,0.1795896000659164,0.16340582060579056,0.2053350068812967,1.8409707885932334,1.7654292945991976,1.546097964462127,2.191373989014304,0.4810910343541125,0.48492651678099397,0.4418951661329631,0.509426231195263,0.16252852373960452,0.1626427484633775,0.16128347860242226,0.16388471492615622,0.028751391127210767,0.0275853511246361,0.0231112790236277,0.03394871837195908,0.028978181502483255,0.02821887620513855,0.02201285084959805,0.033534103121018205,0.0008586788010251187,0.0008395815786615001,0.0007981225605081001,0.0009154075182695751,0.0,0.0,0.0,0.0
I-A,aligned centre drift,identification,8192,32,100.0,100.0,100.0,0.0,0,0,0.09465508138221149,0.09257754600889165,0.08376852820037156,0.11035289675168927,0.7530792112251831,0.689523024811321,0.6081317550645013,0.860303390400711,0.35031889252797216,0.34725237059758673,0.3323323757856236,0.36673328199112926,0.16089271525886173,0.16127607805666466,0.15965377973618072,0.16202679477520834,0.012056306586807744,0.01137441532226005,0.009275385398299826,0.01404078124236305,0.01178734978763427,0.011134830648924551,0.00917412202298945,0.013567153214986425,0.0004384450275832188,0.00042948360958235,0.00040107072704865,0.000486648896464125,0.0,0.0,0.0,0.0
I-M,mixed centre drift,identification,512,32,100.0,100.0,100.0,0.0,0,0,0.3541215269218604,0.3609629687852287,0.3203772151955059,0.387253795019476,4.8217931845756095,4.576405815732376,3.734638417120575,5.966826228178412,0.7426149430987754,0.7702350106805733,0.6647105257893683,0.8787647334776414,0.1664939895146073,0.1670199580573527,0.16375385045617902,0.16874608840653366,0.05604029171747036,0.051690869584732346,0.04373060671391167,0.06310523129761875,0.19117367855868966,0.1883217143595189,0.1418201526173609,0.2302067235715406,0.0017102451514327188,0.00169308968009705,0.00163707463038115,0.001770178289178425,0.0,0.0,0.0,0.0
I-M,mixed centre drift,identification,2048,32,100.0,100.0,100.0,0.0,0,0,0.18320113939763866,0.18492445147968156,0.16592170893357877,0.2052242358507998,1.8806247095760527,1.8411893047787726,1.4566015681848774,2.1165177793624483,0.47807731044954105,0.47733970477963,0.44905832222473724,0.5026813647422292,0.1642904285757596,0.16420490766055465,0.16235426994245022,0.16682712253104776,0.028392103417721158,0.0288451681999675,0.02215461696714045,0.033556945089708225,0.13458819194514532,0.1329160817150773,0.11641293358661663,0.15658556890391842,0.0008586788010251187,0.0008395815786615001,0.0007981225605081001,0.0009154075182695751,0.0,0.0,0.0,0.0
I-M,mixed centre drift,identification,8192,32,100.0,100.0,96.875,0.0,0,0,0.09450129105163269,0.09114605594361415,0.08532781207665074,0.109592297472582,0.8268140587920914,0.765826140138693,0.5980661530797174,1.0374979854836899,0.34294106849685513,0.3446204585671529,0.3219161741479004,0.3661439477490172,0.16347465070828437,0.1634826025329896,0.16086934774489825,0.1655919979840035,0.013195237966613056,0.0117971774168621,0.00862131266679305,0.015951992851227025,0.12965887238303722,0.1300590533168578,0.12038174038373282,0.13845489901662533,0.0004384450275832188,0.00042948360958235,0.00040107072704865,0.000486648896464125,0.0,0.0,0.0,0.0
I-O,orthogonal centre drift,identification,512,32,100.0,100.0,28.125,0.0,0,0,0.3551862654951232,0.3544088011036295,0.32742316274167416,0.39381415964711475,5.077337849920486,5.068171074300119,3.5551053538105473,6.211875045051126,0.7407933857169899,0.7590520282289623,0.6665726407662699,0.8533518812219847,0.16879186203891744,0.16946320090582795,0.16681026446452218,0.17049922180296842,0.05739510828739965,0.05153615338168995,0.0459126542660393,0.0680668908860341,0.4378430022154122,0.43167511011749077,0.24368546439373578,0.5770530271848168,0.0017102451514327188,0.00169308968009705,0.00163707463038115,0.001770178289178425,0.0,0.0,0.0,0.0
I-O,orthogonal centre drift,identification,2048,32,100.0,100.0,0.0,0.0,0,0,0.1834850516770725,0.18850288518120956,0.1661230026455034,0.204953638065697,1.893157930861298,1.7828852394420407,1.5594515138664047,2.236275808056587,0.47397285946354784,0.47187973366603386,0.4408109470251903,0.5014809303193308,0.16596045640006712,0.1660672025577078,0.1648290725579105,0.16687232376219,0.029405449344352456,0.02874875631230165,0.022699006522643825,0.03673110921507788,0.22445887678975357,0.19180084384467944,0.11217381444338473,0.32099688842153506,0.0008586788010251187,0.0008395815786615001,0.0007981225605081001,0.0009154075182695751,0.0,0.0,0.0,0.0
I-O,orthogonal centre drift,identification,8192,32,100.0,100.0,0.0,0.0,0,0,0.09470870100597113,0.09165890936089295,0.08492239890731798,0.10899328888834871,0.8497781361327119,0.8211741022124581,0.5792650512841678,1.030970931182368,0.339980655897157,0.33601453109540136,0.32074718739892305,0.36020947131090447,0.16477565416378576,0.16494423576678396,0.16383399494524564,0.16606225798762714,0.013842903318795997,0.011997372444698649,0.00969371654979195,0.0170298617229896,0.1189334446759568,0.10676643155426604,0.06910700747502013,0.14093581875288358,0.0004384450275832188,0.00042948360958235,0.00040107072704865,0.000486648896464125,0.0,0.0,0.0,0.0
V-L,lag-correlated tangent noise,violation,512,32,100.0,100.0,62.5,0.0,0,0,0.37011102794996625,0.36555334443242826,0.33798663728612205,0.40526976043225194,8.65944705306233,8.520210024942617,5.832765766559337,10.306592143997822,0.7534202602943041,0.7793811231106023,0.6577118441224126,0.8500699530638237,0.17663965764290784,0.17546381910827655,0.17303500915312295,0.1800341817670521,0.08739894997644937,0.0848313571562318,0.06651721683787715,0.11260434186983877,0.31638941404405285,0.2851074041473307,0.19077009747463197,0.36192111919893755,0.006223867170885413,0.00617729112666995,0.005945330046604125,0.00653897149725015,0.0,0.0,0.0,0.0
V-L,lag-correlated tangent noise,violation,2048,32,100.0,100.0,34.375,0.0,0,0,0.19178540734292643,0.1964390084435933,0.1717760616513565,0.21083096370083904,3.062403561812519,2.9537213155751774,2.4096342467852487,3.831388673299148,0.4822104069720576,0.47678579116523956,0.45033233925358884,0.511569993841831,0.16619441567347099,0.16693839565554305,0.16400617597845707,0.16837448135014377,0.03998614312673325,0.03960650931005355,0.031202020563665098,0.04784536186596485,0.27086269479054437,0.24338386877035667,0.18420892596447225,0.364101422526623,0.005490081739794938,0.005430460028586,0.0053323672831228006,0.00567758198898735,0.0,0.0,0.0,0.0
V-L,lag-correlated tangent noise,violation,8192,32,100.0,100.0,21.875,0.0,0,0,0.09847558544025387,0.0959368163850635,0.08887059485120573,0.11141323717307658,1.4707348399637765,1.4625866648922954,1.1002731630159928,1.7396260742221359,0.346116225431832,0.34039848129613876,0.3274863154031937,0.3663345257604176,0.16321255555561587,0.16368351825367816,0.16179280986001146,0.16492578057655224,0.02342691514740043,0.0234727096594908,0.016279217173117724,0.0281068579283416,0.30793796361183784,0.3030203891498948,0.2413085597651488,0.3826561373999626,0.005253442429446413,0.005256861402449299,0.0051734326142915,0.00535055110752055,0.0,0.0,0.0,0.0
V-R,kinked centre path,violation,512,32,100.0,96.875,78.125,0.0,0,0,0.3562684104316256,0.34990955814190533,0.3292049171646316,0.39263841024398966,4.931019581862792,4.4187811582580885,3.7422334051323034,6.042263886069139,0.7466389117582488,0.7766818986520754,0.6664158834524264,0.8795268271157564,0.16631990854409037,0.1665233702862782,0.16408506779924958,0.16788222301994649,0.05680352100092542,0.05423609310846135,0.045544125903263975,0.06532167292444246,0.3154245315169093,0.28864602144931245,0.18502946494987454,0.3905497040287056,0.0017102451514327188,0.00169308968009705,0.00163707463038115,0.001770178289178425,0.0,0.0,0.0,0.0
V-R,kinked centre path,violation,2048,32,100.0,100.0,46.875,0.0,0,0,0.1829598559695737,0.18803048119635116,0.16559224831114183,0.2033582006303253,1.8456858904990974,1.6925026675573722,1.5044245763011936,2.1394260279288453,0.47788183641939824,0.47742888073142686,0.44271024481235016,0.5084322425610741,0.16335357274279455,0.1639893581000189,0.16072043275423614,0.16560604875550208,0.027477776210648203,0.02490612916406875,0.02171222047263695,0.03198926276988395,0.28790742859963514,0.27033012324159383,0.20440265904422525,0.3815201715023223,0.0008586788010251187,0.0008395815786615001,0.0007981225605081001,0.0009154075182695751,0.0,0.0,0.0,0.0
V-R,kinked centre path,violation,8192,32,100.0,100.0,34.375,0.0,0,0,0.09482243571609425,0.09125977181861811,0.08538706053921932,0.1093670632485324,0.8127289655282646,0.7724078941688004,0.5708817215365116,1.0152770106209748,0.3464169171018183,0.34164907240215525,0.3257185526281292,0.3685756430843413,0.1623276812869086,0.16324689737871872,0.16031973649937492,0.1643919066419363,0.013146848348316293,0.01180805763734665,0.0092118617004262,0.015315137772480426,0.3318523810297537,0.336404398916033,0.26478367983546414,0.40010506745707086,0.0004384450275832188,0.00042948360958235,0.00040107072704865,0.000486648896464125,0.0,0.0,0.0,0.0
