regime,n,metric,paired_draws,mean_improvement_percent,median_improvement_percent,improvement_q25,improvement_q75,median_ci025,median_ci975,rfd_win_percent
I-M,512,factor scores,32,-89.85826266613425,-83.83102349929102,-126.55328212241537,-66.04972522599493,-115.9546886785072,-69.7658652095646,0.0
I-M,512,observation reconstruction,32,13.236057051676438,12.784204766748635,11.8096090959744,14.586918806178549,12.137646547104932,14.288322828422979,100.0
I-M,512,latent-signal reconstruction,32,19.37318740696385,19.441545460171433,17.966440002250437,21.061073816575494,18.10579997438945,20.94876519890999,100.0
I-M,2048,loading projector,32,74.4247635312106,75.71140617930064,70.06779141118304,81.17655424150286,71.13539517874021,78.93243827706623,100.0
I-M,2048,factor scores,32,-22.826333141240546,-25.50820284922161,-30.888149007836066,-12.968447459265086,-28.940783596693027,-15.040879364969532,6.25
I-M,2048,observation reconstruction,32,14.474403174744696,14.41406402149547,13.970863966602103,15.100557207852756,14.20961119529127,14.874348007329372,100.0
I-M,2048,latent-signal reconstruction,32,23.230753573241167,23.312726976191104,21.966323259810824,24.145875681267004,22.907157033515265,23.942632739358736,100.0
I-M,8192,loading projector,32,88.74140870307932,89.67184586570993,86.60772524879313,91.96121770883283,87.89344909685425,91.59075228981878,100.0
I-M,8192,factor scores,32,11.027903457619164,11.858049559638381,5.986259444387,15.972013424702148,9.929424678840098,14.249131904587813,93.75
I-M,8192,observation reconstruction,32,14.90746075478297,14.936004882593997,14.604951843882388,15.31499959916801,14.7018717050888,15.180157508989193,100.0
I-M,8192,latent-signal reconstruction,32,24.276948384584742,24.01943034255894,23.48549155914261,25.30950301113938,23.63593813910895,24.86610096094596,100.0
I-O,512,loading projector,32,70.13844140128654,78.61686747257141,57.15212281033781,86.96676746710655,73.16712251521872,83.09736873801363,96.875
I-O,512,factor scores,32,-133.50412512984676,-131.58607085874587,-196.74211910211233,-87.72067663102115,-170.66263997431508,-101.4183622399433,3.125
I-O,512,observation reconstruction,32,28.0284545013154,27.35390164422192,25.270797898554555,29.690049370810513,25.663386627561696,28.633625457203596,100.0
I-O,512,latent-signal reconstruction,32,38.33251593159289,36.00579885603035,34.65880235098422,40.83749773067171,34.792425827634105,38.74660465392381,100.0
